,Unnamed: 0,Unnamed: 0.1,id,public_metrics.following_count,public_metrics.followers_count,public_metrics.tweet_count,username,name,party,gender,politician_attention,total_number,total_unity,total_commitment,diversity,woman_number,woman_unity,woman_commitment,man_number,man_unity,man_commitment,media_number,media_unity,media_commitment
106,106,106,99424148,580,26220,9734,fumi_fuji,藤田　文武ふじた　ふみたけ,日本維新の会,1,6.0,556.0,0.1514208501050606,0.4578595733768148,0.3769304729283096,130.0,0.0339285714285714,0.2868606701940035,386.0,0.0386363636363636,0.5390667761357416,40.0,0.0075757575757575,0.6190476190476191
107,107,107,152575631,1139,4093,2793,Iwatani_Ryohei,岩谷　良平いわたに　りょうへい ,日本維新の会,1,1.0,442.0,0.1296769511831431,0.415928265446521,0.4881232255495176,161.0,0.0472769567597153,0.4412337662337662,118.0,0.0424319727891156,0.1766313932980599,163.0,0.0166666666666666,0.5956349206349206
108,108,108,1105325011,125,5801,2659,aoyagi_h,あおやぎ　仁士あおやぎ　ひとし,日本維新の会,1,2.0,140.0,0.036,0.6394927536231885,0.4763705103969753,14.0,0.0,0.2,9.0,0.0,0.0,117.0,0.012,0.7702898550724638
109,109,109,706739061893902336,1263,38042,4802,baba_ishin,馬場　伸幸ばば　のぶゆき,日本維新の会,1,0.0,234.0,0.0810630939941284,0.2847153804050356,0.4571995194599645,148.0,0.0462755635169428,0.3297619047619047,81.0,0.0340038314176245,0.1628787878787878,5.0,0.0,1.0
111,111,111,1120910419864932352,394,1725,8168,y_ichitani,一谷　勇一郎いちたに　ゆういちろう,日本維新の会,1,5.0,59.0,0.0106837606837606,0.2299999999999999,0.4981257809246147,26.0,0.0055555555555555,0.21875,23.0,0.0,0.0666666666666666,10.0,0.0,0.75
112,112,112,187094764,2128,4134,6454,keemiki,三木　けえみき　けえ,日本維新の会,0,0.0,326.0,0.0921560139207198,0.4253806538289297,0.221849149903849,158.0,0.0388888888888888,0.3724137931034483,23.0,0.0156862745098039,0.1666666666666666,145.0,0.0149425287356321,0.607171201814059
113,113,113,2957425140,721,686,1780,sumiyoshi0124,住吉　ひろきすみよし　ひろき,日本維新の会,1,0.0,63.0,0.0199999999999999,0.1152173913043478,0.4644444444444444,38.0,0.0,0.0789473684210526,22.0,0.015625,0.0892857142857142,3.0,0.0833333333333333,0.0
114,114,114,1303819846526750720,2122,1802,1394,seiki_soramoto,空本　せいきそらもと　せいき,日本維新の会,1,0.0,389.0,0.0819696969696969,0.2236222336374466,0.4335394965277778,262.0,0.0489417989417989,0.2669540229885057,122.0,0.0,0.1825396825396825,5.0,0.0,1.0
115,115,115,95405735,3023,36944,24493,ichiroaisawa,逢沢一郎（あいさわいちろう）,自由民主党,1,0.0,357.0,0.0351851851851851,0.3023097479486932,0.2246153237609272,277.0,0.0083333333333333,0.2787740037740037,41.0,0.0,0.1507936507936507,39.0,0.0,0.875
116,116,116,123482369,1738,7248,7243,ryosei_akazawa,赤澤亮正（あかざわりょうせい）,自由民主党,1,3.0,819.0,0.3254988340049362,0.4599691107936986,0.4006044869974441,454.0,0.2353431202805726,0.4861196274989379,174.0,0.0367521367521367,0.3024220032840722,191.0,0.0103448275862068,0.6032312925170068
117,117,117,108550427,162,8864,1915,akibakenya,秋葉賢也（あきばけんや）,自由民主党,1,0.0,156.0,0.0390804597701149,0.4385770975056689,0.1420118343195264,84.0,0.0,0.37,7.0,0.0,0.3333333333333333,65.0,0.0,0.5978260869565217
118,118,118,276384764,57,10894,6106,akimoto_chiba9,秋本真利（あきもとまさとし）,自由民主党,1,0.0,7.0,0.0,0.0,0.4081632653061224,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
119,119,119,119568258,468,7520,5423,abetoshiko,あべ俊子（あべとしこ）,自由民主党,0,1.0,127.0,0.0155555555555555,0.364367816091954,0.160512,114.0,0.0155555555555555,0.4413793103448276,11.0,0.0,0.1666666666666666,2.0,0.0,0.0
120,120,120,1319952734,262,6990,5422,ikeda_0620,池田佳隆（いけだよしたか）,自由民主党,1,0.0,40.0,0.0113636363636363,0.2182539682539682,0.3005540166204987,31.0,0.0,0.2916666666666666,7.0,0.0,0.0,2.0,0.0,0.0
121,121,121,4640535990,596,8658,2366,iakimasa1,石川昭政（いしかわあきまさ）,自由民主党,1,0.0,277.0,0.0727777777777777,0.4435805573736608,0.1449311955561165,82.0,0.0123456790123456,0.1997252747252747,7.0,0.0,0.0,188.0,0.0238095238095238,0.6201530612244897
122,122,122,808468854,37,208931,1308,shigeruishiba,石破茂（いしばしげる）,自由民主党,1,1.0,9.0,0.0,0.7,0.0,9.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
123,123,123,118936323,593,1489,1370,1484_Rintaro,石橋林太郎（いしばしりんたろう）,自由民主党,1,0.0,66.0,0.0059523809523809,0.1567901234567901,0.35888671875,49.0,0.0,0.2152777777777777,15.0,0.0185185185185185,0.2,2.0,0.0,0.0
124,124,124,64991261,211,72957,4686,IzumidaHirohiko,泉田裕彦（いずみだひろひこ）,自由民主党,1,0.0,188.0,0.0390946502057613,0.5678571428571428,0.2603550295857988,77.0,0.0,0.6270833333333333,14.0,0.0,0.25,97.0,0.0130434782608695,0.6523809523809524
125,125,125,119368252,1467,5105,18488,yousei_ide,井出庸生（いでようせい）,自由民主党,1,0.0,1137.0,0.2395690824676332,0.5446767010364347,0.0869561125724045,880.0,0.1752022309963486,0.5550621918215137,42.0,0.0175438596491228,0.2254901960784313,215.0,0.0272988505747126,0.5636286332714904
126,126,126,807158893868511232,174,2308,2775,ShintaroIto205,伊藤信太郎（いとうしんたろう）,自由民主党,1,0.0,166.0,0.0381773399014778,0.6373299319727891,0.2076124567474049,60.0,0.0,0.7727272727272727,8.0,0.0,0.0,98.0,0.0115384615384615,0.6659999999999998
127,127,127,166532571,302,3611,6340,T_Ibayashi,井林辰憲（いばやしたつのり）,自由民主党,1,0.0,36.0,0.0291666666666666,0.244047619047619,0.3132716049382715,29.0,0.023076923076923,0.2916666666666666,7.0,0.0277777777777777,0.25,0.0,0.0,0.0
128,128,128,101633526,3647,10709,4322,imaeda_soichiro,今枝宗一郎（いまえだそういちろう）,自由民主党,1,0.0,325.0,0.1388605886450713,0.4014153009688724,0.4779574726763844,170.0,0.0952654625068418,0.3537981859410431,111.0,0.0234567901234567,0.3897435897435898,44.0,0.0,0.8796296296296295
129,129,129,62402471,2364,5492,2929,Ueno_Kenichiro,うえの賢一郎（うえのけんいちろう）,自由民主党,1,0.0,200.0,0.0398412698412698,0.3075944170771756,0.4942011834319526,72.0,0.0061728395061728,0.0666666666666666,58.0,0.0227272727272727,0.1777777777777777,70.0,0.0,0.8030303030303029
130,130,130,80765328,145,8785,2201,etoseishiro,衛藤征士郎（えとうせいしろう）,自由民主党,1,0.0,48.0,0.0,0.4722222222222222,0.1866319444444444,43.0,0.0,0.5277777777777778,5.0,0.0,0.0,0.0,0.0,0.0
131,131,131,115604628,229,6904,1702,Ogushi_Masaki,大串正樹（おおぐしまさき）,自由民主党,1,0.0,35.0,0.0055555555555555,0.25,0.4995918367346939,18.0,0.0076923076923076,0.1818181818181818,17.0,0.0,0.4,0.0,0.0,0.0
132,132,132,410591079,278,17625,6612,masanobu_ogura,小倉將信（おぐらまさのぶ）,自由民主党,1,43.0,79.0,0.0241545893719806,0.2454545454545454,0.3010650887573964,53.0,0.0216049382716049,0.3399999999999999,12.0,0.0208333333333333,0.0,14.0,0.0,1.0
133,133,133,119019009,1716,8504,3556,odawarakiyoshi,小田原潔（おだわらきよし）,自由民主党,1,0.0,72.0,0.0098765432098765,0.2173076923076923,0.473877551020408,27.0,0.015625,0.2916666666666667,43.0,0.0,0.2348484848484848,2.0,0.0,0.0
134,134,134,200842455,260,4617,2442,ochitakao,越智隆雄（おちたかお）,自由民主党,1,0.0,49.0,0.0,0.2055555555555555,0.4947938359017076,22.0,0.0,0.037037037037037,27.0,0.0,0.6666666666666666,0.0,0.0,0.0
135,135,135,1351323366150443008,841,1520,1035,onikidonfukuoka,鬼木誠（おにきまこと）,自由民主党,1,0.0,236.0,0.0,0.4062260536398467,0.1894211433496122,25.0,0.0,0.3472222222222221,211.0,0.0,0.4219310451453308,0.0,0.0,0.0
136,136,136,46111733,2868,33770,26039,310kakizawa,柿沢未途（かきざわみと）,自由民主党,1,3.0,469.0,0.1188528967839312,0.3746150288746636,0.1113112477683,334.0,0.101621054552089,0.3140869666731735,21.0,0.0,0.2,114.0,0.0,0.6551282051282052
138,138,138,1058214703514537984,309,21976,2404,KatsunobuKato1,加藤勝信（かとうかつのぶ）,自由民主党,1,4.0,79.0,0.016025641025641,0.34,0.25350837483024,40.0,0.0131578947368421,0.1731481481481481,7.0,0.0277777777777777,0.0,32.0,0.0,0.8214285714285714
139,139,139,98478961,455,10013,17865,nekotanchan,金子恭之（かねこやすし）,自由民主党,1,0.0,191.0,0.053560294301035,0.5064255189255189,0.4972565157750341,25.0,0.0,0.4333333333333333,29.0,0.0092592592592592,0.1666666666666666,137.0,0.0281481481481481,0.6811594202898551
140,140,140,210449651,1914,3664,4299,kameokayositami,亀岡偉民（かめおかよしたみ）,自由民主党,1,0.0,104.0,0.0687499999999999,0.2477272727272726,0.3871875,59.0,0.0137681159420289,0.2134920634920634,21.0,0.0128205128205128,0.0454545454545454,24.0,0.0,0.8333333333333334
141,141,141,1351693060250320896,585,1464,2358,kawasaki_hideto,川崎ひでと（かわさきひでと）,自由民主党,1,2.0,230.0,0.0685642281991166,0.4958478029906601,0.1476146928821826,149.0,0.0260899814471243,0.4999999999999999,13.0,0.0,0.6428571428571429,68.0,0.0075757575757575,0.5583333333333333
142,142,142,265458233,210,2253,1922,Jun1CanDo,神田潤一（かんだじゅんいち）,自由民主党,1,4.0,68.0,0.0681350542461653,0.3666666666666666,0.375,24.0,0.0666666666666666,0.3833333333333333,8.0,0.0277777777777777,0.0,36.0,0.0,0.6176470588235294
